file,point_count,plane_count,face_count,face_point_total,unique_texture_tags,signature
1-3.3D,4,1,1,4,1,c251683ab60b3212539d6ea4980edc6409a888b2
1.3D,50,42,42,164,1,7414213917bc154f6f7b651aafe638ace882ad68
10.3D,28,25,25,98,1,dbafe932401c0656b794f8c8198ab21f392d6930
11.3D,85,92,92,338,1,3512e69e58a8a5cc420509ce14ba02a0be53d30a
12-2.3D,138,88,88,360,1,2f64169795d64dc7c2318ce0907d7e2719f1d7f5
12.3D,46,32,32,140,1,02fa4ad695bec26b21b0ded80700487f763765db
13.3D,28,22,22,90,1,2eabed9b5025989d729055de23bdee836a4cc358
14.3D,18,13,13,54,1,f3d592e2058b31212be21e2d15337f7a8e838d35
15.3D,28,25,25,98,1,dbafe932401c0656b794f8c8198ab21f392d6930
16.3D,52,47,47,192,1,907cb464069167b67c7e1aafb7f67e560bd227dd
17.3D,28,22,22,90,1,2eabed9b5025989d729055de23bdee836a4cc358
18.3D,28,25,25,98,1,dbafe932401c0656b794f8c8198ab21f392d6930
19.3D,96,59,59,260,1,de3a3dd6a8f57246f9eaa0e86fc80a571bceef85
19_2.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
19_3.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1APILL.3D,72,100,100,340,1,d1428fc9bdf1513e076d5fd8a30a684c1fc4610d
1BLOK1.3D,48,40,40,172,1,50ecb3060ca4e086bfea061e16846814d5ae9a59
1BLOK2.3D,44,38,38,160,1,c58306d4e39b278faad1b54a81c6816700a65bb5
1BLOKRM.3D,29,20,20,90,1,aff7be776135db2330a3f28181ea78c8dfb35593
1CAVE.3D,62,48,48,210,1,57a7ae83ffbcc7dab6980f5a02d0d3b9b4447881
1CAVE2.3D,68,65,65,260,1,381931a102ab8dae309a6c8840df2ea4365bdd18
1CAVE3.3D,68,82,82,293,1,92c7231ec9f96dca9bb0ccf4d3a87774ca67ae31
1CAVE4.3D,67,81,81,290,1,bfec0e6593d57dac2a7cf4c7a48832220bdc0594
1CAVE5.3D,127,144,144,534,1,9811de348721dfecb06d3c527db41735cb7ddb88
1CAVWALL.3D,12,8,8,36,1,7ed08d63df040b950ff82efdbd8fc027bd98a0ed
1CENTER.3D,24,13,13,68,1,4f610c168bf4a88b0c01a5d2e29721f76a530b13
1CHAMBER.3D,63,68,68,254,1,c8a9930b2f938923677f82e354236bba62c8b3ae
1CHAMTEL.3D,16,2,2,18,1,915f66b6d6fc1a14a9a571d54365a43b87f24304
1CHEEZ1.3D,112,108,108,434,1,ee561b3164ad1f1950c6ea82d92edd5dd9e53ef1
1CONTROL.3D,38,29,29,126,1,c0541beb757ed823bfc8dd7b7343bc6f1ebf83ef
1CORR1.3D,28,19,19,80,1,afc30f42f0ce4d497e546522b1d677e2427be245
1CORR10.3D,14,9,9,38,1,8715dcc78d986e7310e4a39c698a95dac833b394
1CORR11.3D,24,15,15,64,1,c9ced9556cd41e5107cf7124c3c33c36b4f3b311
1CORR12.3D,44,41,41,144,1,68ad9ad0cd13434b00cc43d6ee405d68bb2c73f5
1CORR13.3D,56,43,43,182,2,a43b7895345b7ac7ed4d7d5a19a01c6df7d8430c
1CORR14.3D,8,4,4,16,1,37230c143ae7dbdf8f7c2917a48cff5ce798b45a
1CORR15.3D,8,4,4,16,1,37230c143ae7dbdf8f7c2917a48cff5ce798b45a
1CORR16.3D,24,20,20,80,1,6709053e143b222bad3508b1239e79ad3f072680
1CORR17.3D,24,20,20,80,1,6709053e143b222bad3508b1239e79ad3f072680
1CORR18.3D,8,4,4,16,1,37230c143ae7dbdf8f7c2917a48cff5ce798b45a
1CORR19.3D,8,4,4,16,1,37230c143ae7dbdf8f7c2917a48cff5ce798b45a
1CORR2.3D,8,4,4,16,1,37230c143ae7dbdf8f7c2917a48cff5ce798b45a
1CORR20.3D,24,20,20,80,1,6709053e143b222bad3508b1239e79ad3f072680
1CORR21.3D,24,20,20,80,1,6709053e143b222bad3508b1239e79ad3f072680
1CORR22.3D,26,15,15,70,1,6a11471f387b559f62014182330e612675c75dbf
1CORR23.3D,36,38,38,140,1,397f5cf6257ceb62122e89921d025be57f06821a
1CORR24.3D,46,36,36,150,1,8f3f435a5948e5f84ddfe9d27b624fec69d32b76
1CORR25.3D,50,43,43,178,1,6beaed4bfdb32608646e35de2e88d3548c641903
1CORR26.3D,36,25,25,108,1,741bf74bcb2af87d44f714898e42a86555de6442
1CORR27.3D,28,19,19,80,1,afc30f42f0ce4d497e546522b1d677e2427be245
1CORR28.3D,24,15,15,64,1,c9ced9556cd41e5107cf7124c3c33c36b4f3b311
1CORR29.3D,20,20,20,72,1,e93ea5335175473a767e2c939e920a4d422d0b21
1CORR3.3D,52,42,42,174,1,d4e467603f3854be44bcbbb8f723316c3e4e733c
1CORR30.3D,30,26,26,102,1,3463c7b3bf05445f604bc5bba59f738be842097c
1CORR31.3D,48,32,32,140,1,b480f6ca287102c0d3b71f4483b118c9e0020d9e
1CORR32.3D,40,30,30,126,1,d5ac6efb711530e98e292ed2ce06126cbfb90834
1CORR33.3D,26,27,27,98,1,9a06bd42abe1bc3e28345f78908b45518f5a4ce1
1CORR34.3D,24,15,15,64,1,c9ced9556cd41e5107cf7124c3c33c36b4f3b311
1CORR35.3D,24,15,15,64,1,c9ced9556cd41e5107cf7124c3c33c36b4f3b311
1CORR36.3D,28,22,22,92,1,84ac6f7f5ecb0410de316222aeb5db04585be5a3
1CORR37.3D,82,61,61,278,1,dcf5977a8550e575f51dadf6707a6295a6de9736
1CORR38.3D,58,48,48,190,1,28f376ce21fc579efcc7ae176af280ecaed3fdee
1CORR39.3D,46,37,37,132,1,2c0225e79bb156a615e32f367df5d229aca5101c
1CORR4.3D,36,23,23,104,1,5fc3549572b0baa0c6339dd73935cbd5c581f1fa
1CORR5.3D,58,42,42,178,1,3ff6666dff67222d6ab84ad3a50ca8424e5eec2b
1CORR6.3D,26,17,17,74,1,949ca268918a3b71278f34c8eb3b54f042ea08d1
1CORR7.3D,16,9,9,40,1,c32e3da4dcf8354250feb04c75be3a995477a343
1CORR8.3D,8,4,4,16,1,37230c143ae7dbdf8f7c2917a48cff5ce798b45a
1CORR9.3D,20,24,24,80,1,34eda338f17d225e8313b0f0a698164ec161140c
1COVE.3D,48,86,86,258,1,117aae5c4fde1e1473b9e23d3c25f64d3f2bd762
1COVE2.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1COVE3.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1CPANEL.3D,10,7,7,30,1,fb0265f733560b6cfcb74c62de0ef52b4800f649
1CRATE.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1CTDOOR.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1CTRLWAY.3D,24,15,15,64,1,c9ced9556cd41e5107cf7124c3c33c36b4f3b311
1CWALL2.3D,12,8,8,36,1,7ed08d63df040b950ff82efdbd8fc027bd98a0ed
1CWALL3.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1CWALL4.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1CWALL5.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1CWALL6.3D,12,10,10,40,1,f4cef064b840a832e279bfefa73c232677111237
1CWALL7.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1DOOR1.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1DOOR10.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1DOOR11.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1DOOR12.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1DOOR13.3D,16,14,14,56,1,7d7d4d3960e491253d3c03faf21c3251a9f87b8f
1DOOR14.3D,16,14,14,56,1,7d7d4d3960e491253d3c03faf21c3251a9f87b8f
1DOOR15.3D,16,14,14,56,1,7d7d4d3960e491253d3c03faf21c3251a9f87b8f
