file,chunk_total,objd_count,idfi_count,lfil_count,resolved_models,unresolved_models,scale_min,scale_max,pos_x_min,pos_x_max,pos_y_min,pos_y_max,pos_z_min,pos_z_max,ang_x_min,ang_x_max,ang_y_min,ang_y_max,ang_z_min,ang_z_max,bbox24_count,bbox72_count,signature
1ROOM.BS6,271,1,1,1,1,0,1024,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e88700fc6e640e0d2a4fbc206adb35c2c33fa5b
BACKUP.BS6,532,29,29,1,28,1,1024,1024,-768,448,-960,0,-5441,3937,0,512,0,1024,0,0,1,0,bf79ae6d8fab2dfb75e25b4964597a7b2917e534
BARCKIN.BS6,455,33,33,1,33,0,1024,1024,24662,25745,-1596,-1208,47578,48670,0,0,0,1536,0,0,1,0,17b9ca4828c86c925ee7ec675f5b7ead5d04d882
BARNIN.BS6,435,41,41,1,41,0,1024,1024,24794,25944,-220,126,47051,47773,0,1934,0,1920,0,2036,1,0,6cc7d5c11fb6995782d450b5de79953b6038f0d9
BELLIN.BS6,178,9,9,1,9,0,1024,1024,25071,25334,-2236,-1289,47955,48286,0,512,0,1792,0,0,1,0,44dde2265d4586410fe0a1daa79509143d92e048
BLKSMIN.BS6,294,24,24,1,24,0,1024,1024,24891,25570,-1371,-1272,47961,48320,0,512,0,1925,0,0,1,0,8b572b6cc2adeb5f7bda59014d9383718fcede05
CATCOM.BS6,1077,67,67,1,67,0,1024,1024,19070,23337,-1377,-1213,47115,49933,0,1725,0,1024,0,0,1,0,6d8a19ed70d4bee6d5f1124ac19fd52fdd94fb5a
DMKK.BS6,2316,173,173,1,173,0,1024,1024,-9056,4992,-1044,340,-3040,3424,0,1792,0,1536,0,1536,1,0,102aa167b4cce52e28e734d2080784f92428a883
DMNN.BS6,1442,80,80,1,80,0,1024,1024,-3264,3136,-291,1541,-3200,2432,0,1536,0,1792,0,1536,1,0,95dde912877f2592588482cab82f4ccedc2b021e
DMSC.BS6,532,29,29,1,28,1,1024,1024,-768,448,-960,0,-5441,3937,0,512,0,1024,0,0,1,0,bf79ae6d8fab2dfb75e25b4964597a7b2917e534
FIXIT.BS6,10637,1030,1030,1,1030,0,1024,1024,-12714,10036,-959,863,-7054,8666,0,1991,0,1838,0,2005,1,0,2f3a568f8241e64d8a671bbc413c7d30f7e1b758
INDAGON.BS6,1038,55,55,1,55,0,1024,1024,12751,14878,-1608,724,9958,11919,0,512,0,1024,0,1024,1,0,80cad358d0689db3b020f813c4ca01eaafc98a29
INHOUS2.BS6,313,19,19,1,19,0,1024,1024,25226,25838,-191,98,45752,46311,0,512,0,1673,0,0,1,0,de0092596b74efc4540db4a45d009e0d19e08358
INHOUS3.BS6,241,12,12,1,12,0,1024,1024,25226,25838,-191,94,45752,46311,0,512,0,1673,0,0,1,0,ae9d2dbe8760b70bae89056c9bb00164d80c0334
ININN.BS6,754,64,64,1,64,0,1024,1024,26347,26884,-556,66,45601,46188,0,512,0,1842,0,512,1,0,22a68b7c7899fb90d463401506514e0c10e53e6f
INKEEP.BS6,800,53,53,1,53,0,1024,1024,-1613,1062,-957,203,2891,4690,0,512,0,512,0,512,1,0,c74c2204f9efa1a133f310db92695e8d9c90def6
INLUST.BS6,415,30,30,1,30,0,1024,1024,7372,8553,-1648,-1031,15494,18802,0,0,0,1728,0,0,1,0,f03a6ec0047ddaa60f382cc7f2763e283372a6bb
INMANS.BS6,497,47,47,1,47,0,1024,1024,25458,26543,-194,77,45655,46121,0,1535,0,1673,0,512,1,0,063f07384160c35b9adbbc640a60c8bc6827cdcb
INMNTN.BS6,328,16,16,1,16,0,1024,1024,24576,28148,-1280,448,30144,45663,0,0,0,1024,0,0,1,0,fca719de42a759035bb5f2cdbfc4a87ab1a9d066
INSHIP.BS6,400,39,39,1,39,0,1024,1024,10669,11011,-224,129,16786,17892,0,1024,0,1600,0,0,1,0,2f34ee9e0fae9a4e89d59535c20c14e0f48159c8
INSHOP.BS6,313,23,23,1,23,0,1024,1024,-254,304,18621,18801,-245,52,0,0,0,1024,0,0,1,0,5a9493c99ea37d1fc0bfcb1650463bbd4c16c798
INSPIRE.BS6,707,48,48,1,48,0,1024,1024,25589,26012,-947,372,48039,48482,0,1514,0,2000,0,0,1,0,011b73c8921b82cd36c7e56e93c5909ee0613650
