file,texi_dir_count,texi_dirs
1ROOM.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
BACKUP.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
BARCKIN.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
BARNIN.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
BELLIN.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
BLKSMIN.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
CATCOM.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
DMKK.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
DMNN.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
DMSC.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
FIXIT.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
INDAGON.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
INHOUS2.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
INHOUS3.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
ININN.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
INKEEP.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
INLUST.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
INMANS.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
INMNTN.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
INSHIP.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
INSHOP.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
INSPIRE.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
INTEMP3.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
INTEMP5.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
INTOMB.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
JULIAN.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
L1.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
L10.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
L11.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
L12.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
L2.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
L3.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
L4.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
L4NEW.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
L4_OLD.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
L5.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
L6.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
L7.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
L8.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
L8OLD.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
L9.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
MTEMPLE.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
TAVERN.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
TAVRN2.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
YAGA.BS6,1,e:\projects\batspire\art\tex_cels\hicolor
