texture_tag_hex,status,bound_bsi_stem,confidence,face_count,model_count,candidate_bsi_stems,notes
000000000000,fallback_unknown,,none,124302,2188,,
0000000000ff,unbound,,none,261,38,,
000000000001,unbound,,none,217,42,,
00ffffff0000,unbound,,none,108,29,,
000100000000,unbound,,none,102,33,,
070000000800,unbound,,none,97,95,,
0d0000000e00,unbound,,none,93,91,,
130000001400,unbound,,none,84,82,,
0000803f0000,unbound,,none,79,45,,
190000001a00,unbound,,none,78,76,,
000000800000,unbound,,none,74,48,,
1f0000002000,unbound,,none,69,67,,
250000002600,unbound,,none,59,57,,
0000e0ab0100,unbound,,none,58,10,,
008005000000,unbound,,none,54,5,,
010000000000,unbound,,none,53,33,,
3c00ee040000,unbound,,none,46,46,,
010000000100,unbound,,none,42,19,,
3c00ee040200,unbound,,none,40,40,,
2b0000002c00,unbound,,none,38,36,,
000080bf0000,unbound,,none,37,29,,
310000003200,unbound,,none,36,34,,
ffff00000000,unbound,,none,32,22,,
370000003800,unbound,,none,29,29,,
140030020000,unbound,,none,26,10,,
3d0000003e00,unbound,,none,26,26,,
006000000000,unbound,,none,20,2,,
00e0fdff0000,unbound,,none,20,4,,
430000004400,unbound,,none,19,19,,
040000010000,unbound,,none,19,11,,
88000a060000,unbound,,none,18,10,,
490000004a00,unbound,,none,18,18,,
00e0ffff0000,unbound,,none,18,5,,
0080feff0000,unbound,,none,18,10,,
000000000200,unbound,,none,17,8,,
100096010000,unbound,,none,16,5,,
3c0084030000,unbound,,none,16,8,,
340040030000,unbound,,none,16,8,,
0400a8010000,unbound,,none,16,8,,
540050040000,unbound,,none,16,8,,
1c0052020000,unbound,,none,16,8,,
2000ec010000,unbound,,none,16,8,,
ac003c070000,unbound,,none,16,8,,
9c00b4060000,unbound,,none,16,8,,
00e003000000,unbound,,none,16,4,,
00e0faff0000,unbound,,none,16,4,,
0400feffffff,unbound,,none,16,10,,
feffffff0000,unbound,,none,15,8,,
000000000300,unbound,,none,15,10,,
000000006901,unbound,,none,15,15,,
3c0000000000,unbound,,none,15,14,,
b50000000000,unbound,,none,15,2,,
0080fbff0000,unbound,,none,15,5,,
980092060000,unbound,,none,14,10,,
4c000c040000,unbound,,none,14,8,,
000000005400,unbound,,none,14,14,,
4f0000005000,unbound,,none,14,14,,
550000005600,unbound,,none,14,14,,
08002a010000,unbound,,none,14,11,,
7dc500000000,unbound,,none,14,5,,
3c00e2040200,unbound,,none,13,13,,
0300feffffff,unbound,,none,13,8,,
5b0000005c00,unbound,,none,13,13,,
000000007800,unbound,,none,13,13,,
008001000000,unbound,,none,13,8,,
180054010000,unbound,,none,13,8,,
3c00e2040001,unbound,,none,12,12,,
2b0000000000,unbound,,none,12,12,,
0000a8000000,unbound,,none,12,12,,
ffff3f820000,unbound,,none,12,3,,
004000000000,unbound,,none,12,4,,
780000000000,unbound,,none,12,12,,
0060ffff0020,unbound,,none,12,2,,
1800ea010000,bound_family_unique,wal12b,medium,12,4,,"auto-bound via unique family candidate (wal, min_face_count=6)"
040018010000,bound_family_unique,wal12b,medium,12,4,,"auto-bound via unique family candidate (wal, min_face_count=6)"
00000000803f,unbound,,none,12,6,,
300000000000,unbound,,none,11,11,,
a80000000000,unbound,,none,11,9,,
0080ffff00c0,unbound,,none,11,4,,
b40000000000,unbound,,none,11,11,,
00c000000080,unbound,,none,11,2,,
7800a6030000,unbound,,none,10,10,,
6d000000b9ff,unbound,,none,10,10,,
ee000000cfff,unbound,,none,10,10,,
fc000000d7ff,unbound,,none,10,10,,
f5000000d7ff,unbound,,none,10,10,,
fd000000e0ff,unbound,,none,10,10,,
6f000000c4ff,unbound,,none,10,10,,
51ffffffc4ff,unbound,,none,10,10,,
03ffffffe0ff,unbound,,none,10,10,,
08ffffffdeff,unbound,,none,10,10,,
13ffffffcdff,unbound,,none,10,10,,
52ffffffbfff,unbound,,none,10,10,,
00000000b8ff,unbound,,none,10,10,,
4e00000045ff,unbound,,none,10,10,,
c000000065ff,unbound,,none,10,10,,
d600000075ff,unbound,,none,10,10,,
d200000079ff,unbound,,none,10,10,,
e600000091ff,unbound,,none,10,10,,
5300000051ff,unbound,,none,10,10,,
7affffff55ff,unbound,,none,10,10,,
1affffff91ff,unbound,,none,10,10,,
24ffffff87ff,unbound,,none,10,10,,
40ffffff65ff,unbound,,none,10,10,,
81ffffff49ff,unbound,,none,10,10,,
0000000041ff,unbound,,none,10,10,,
4c00000040ff,unbound,,none,10,10,,
db0000007cff,unbound,,none,10,10,,
e900000097ff,unbound,,none,10,10,,
0000000001ff,unbound,,none,10,7,,
000084000000,unbound,,none,10,10,,
00c0fbff0000,unbound,,none,10,5,,
000048000000,unbound,,none,10,10,,
000055660000,unbound,,none,10,2,,
008000000080,unbound,,none,9,6,,
00000300feff,unbound,,none,9,6,,
000024000000,unbound,,none,9,9,,
000000002400,unbound,,none,9,9,,
610000006200,unbound,,none,9,9,,
070000000000,unbound,,none,9,9,,
00000000cc00,unbound,,none,9,9,,
000000008400,unbound,,none,9,9,,
030698407dc5,unbound,,none,9,5,,
000005000000,unbound,,none,9,5,,
0700000000ff,unbound,,none,9,9,,
0061ff04c061,unbound,,none,9,9,,
7ca11dbe306a,unbound,,none,9,9,,
1069ff040000,unbound,,none,9,9,,
