chunk,payload_len,count
AMBI,4,2452
BRIT,4,1499
FLAD,336,1437
FLAD,368,78
FLAD,372,1
FLAD,380,1
FLAD,392,4
FLAD,396,51
FLAD,416,163
FLAD,424,41
FLAD,448,282
FLAD,456,1
FLAD,460,42
FLAD,468,1
FLAD,480,8
FLAD,484,1
FLAD,492,119
FLAD,500,1
FLAD,504,5
FLAD,512,2
FLAD,524,10
FLAD,536,5
FLAD,544,1
FLAD,548,1
FLAD,580,4
FLAD,592,1
FLAD,612,1
FLAD,624,2
FLAD,800,9
FLAS,0,1
FLAS,344,1
FLAS,1064,1
FLAS,1252,1
FLAS,1388,1
FLAS,1564,1
FLAS,1692,1
FLAS,1784,1
FLAS,2000,1
FLAS,2008,1
FLAS,2648,1
FLAS,2784,1
FLAS,3088,1
FLAS,3472,2
FLAS,3560,1
FLAS,3616,1
FLAS,3680,1
FLAS,4160,2
FLAS,4556,1
FLAS,4628,1
FLAS,5440,1
FLAS,6036,1
FLAS,6880,2
FLAS,11696,1
FLAS,12188,1
FLAS,12416,1
FLAS,17200,1
FLAS,17320,1
FLAS,18576,1
FLAS,20072,1
FLAS,21044,1
FLAS,28552,1
FLAS,44508,1
FLAS,49168,1
FLAS,52188,1
FLAS,61168,1
FLAS,61376,1
FLAS,64564,1
FLAS,70200,1
FLAS,73776,1
FLAS,75916,1
FLAS,77816,1
LITD,80,1497
LITD,140,2
LITS,0,4
LITS,264,1
LITS,352,6
LITS,440,4
LITS,528,3
LITS,792,3
LITS,880,1
LITS,968,1
LITS,1144,2
LITS,1232,1
LITS,1320,1
LITS,1408,3
LITS,2112,1
LITS,2552,1
LITS,2728,1
LITS,3520,1
LITS,3696,2
LITS,7656,1
LITS,9064,2
LITS,9328,1
LITS,11412,2
LITS,11704,2
LITS,13376,1
RAWD,4,1683
RAWD,8,759
RAWD,16,983
RAWD,24,878
RAWD,28,48
RAWD,30,55
RAWD,32,719
RAWD,52,659
